question,option 1,option 2,option 3,option 4,answer,explanation,category,option 5
Which carrier has the highest cell reselection priority for sidelink operation? [3GPP Release 17],The carrier pre-configured for sidelink communication,The carrier pre-configured for V2X sidelink communication,The carrier providing inter-carrier V2X sidelink configuration,The serving carrier,option 1: The carrier pre-configured for sidelink communication,The carrier pre-configured for sidelink communication has the highest cell reselection priority for sidelink operation.,Standards specifications,The carrier providing inter-carrier NR sidelink configuration
Where should the position information be provided to? [3GPP Release 17],Location services applications existing within the PLMN,Location services applications external to the PLMN,Location services applications in Mobile Equipment,All of the above,option 4: All of the above,"It should be possible to provide position information to location services applications existing within the PLMN, external to the PLMN, or in Mobile Equipment.",Standards specifications,
What is VarRLF-Report used for? [3GPP Release 17],To store the radio link failure or handover failure information,To store the successful handover information,To store the random-access related information,To store the mobility history information,option 1: To store the radio link failure or handover failure information,VarRLF-Report includes the radio link failure information or handover failure information.,Standards specifications,To store the connection establishment failure and/or connection resume failure information
What is the capability of the 5G system in managing communication across multi-path indirect network connections? [3GPP Release 17],It cannot manage multi-path connections,It can manage only single-path connections,It can manage both single-path and multi-path connections,No specific capability mentioned,option 3: It can manage both single-path and multi-path connections,The 5G system can manage communication between a remote UE and the network across multi-path indirect network connections.,Standards specifications,
What is the number of consecutive OFDM symbols per subframe? [3GPP Release 17],depends on the subcarrierSpacing,10,15,20,option 1: depends on the subcarrierSpacing,The number of consecutive OFDM symbols per subframe depends on the subcarrierSpacing.,Standards specifications,
How is the number of logical slots for a reservation period determined? [3GPP Release 17],By multiplying the resource pool size by the sub-carrier spacing,By counting the number of slots in a resource pool,By converting the resource reservation period from milliseconds to logical slots,By dividing the resource reservation interval by the number of sub-channels,option 3: By converting the resource reservation period from milliseconds to logical slots,The number of logical slots for a given resource reservation period in milliseconds is determined by converting it to logical slots using a conversion formula.,Standards specifications,By subtracting the resource reservation interval from the total number of slots in a resource pool
Which group focuses on defining and parameterizing emerging usage scenarios for mmWave propagation channels? [3GPP Release 17],Steering Committee,Modelling Methodology Group,Measurement Methodology Group,Indoor Group,option 5: Outdoor Group,"The document mentions that the 5G mmWave Channel Model Alliance is divided into six collaborative working groups, including a Steering Committee, Modelling Methodology Group, Measurement Methodology Group, and groups that focus on defining and parameterizing Indoor, Outdoor, and Emerging Usage Scenarios. Therefore, the Outdoor Group focuses on defining and parameterizing emerging usage scenarios for mmWave propagation channels.",Standards specifications,Outdoor Group
What are the three connectivity models supported by 5GC to enable Edge Computing? [3GPP Release 18],"Distributed Anchor Point, Session Breakout, DNN Steering","Anchor Point, Session Breakout, DNN Steering","Distributed Connectivity, Session Breakout, Multiple PDU Sessions","Distributed Anchor Point, Session Breakout, Multiple PDU Sessions","option 4: Distributed Anchor Point, Session Breakout, Multiple PDU Sessions","5GC supports the Distributed Anchor Point, Session Breakout, and Multiple PDU Sessions connectivity models to enable Edge Computing.",Standards specifications,
What information can a 3rd party service provider provide about predictable communication patterns of UEs? [3GPP Release 18],Time and traffic volume related patterns,Location and mobility related patterns,"Both time and traffic volume related patterns, and location and mobility related patterns",None of the above,"option 3: Both time and traffic volume related patterns, and location and mobility related patterns","A 3rd party service provider can provide information about both time and traffic volume related patterns, and location and mobility related patterns of UEs.",Standards specifications,
What is the role of the Master RAN Node in Dual Connectivity? [3GPP Release 18],Terminate the N2 connection with the UE,Relay NAS signaling between the UE and the core network,Handle the user plane connection for the UE,Exchange User Plane traffic of the UE with the Secondary RAN node,option 3: Handle the user plane connection for the UE,"The Master RAN node performs all necessary N2 related functions such as mobility management, relaying of NAS signaling, and manages the handling of the user plane connection.",Standards specifications,Set up a Dual Connectivity for the UE
What is the purpose of the Policy Control functionality in the MPS system? [3GPP Release 18],To assign priority levels to Service Users,To handle MPS interactions with supplementary services,To retain MPS invoked during transient network degradation,To make and enforce policy decisions for MPS application services,option 4: To make and enforce policy decisions for MPS application services,The Policy Control functionality in the MPS system allows for the making and enforcing of policy decisions regarding the relative treatment of MPS application services.,Standards specifications,To support MPS during and after handover
What does the NAS protocol on N1 comprise of? [3GPP Release 18],NAS-MM and NAS-SM,NAS-LTE and NAS-3GPP,NAS-RAN and NAS-AN,NAS-UPF and NAS-SMF,option 1: NAS-MM and NAS-SM,The NAS protocol on N1 comprises a NAS-MM (Mobility Management) and a NAS-SM (Session Management) component.,Standards specifications,NAS-NSA and NAS-SA
